Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"C1"	"C0402"	"2.55mm"	"54.5mm"	"2.55mm"	"54.5mm"	"2.28mm"	"54.03mm"	"T"	"60"	"100nF"
"C2"	"C0402"	"-2.55mm"	"55.1mm"	"-2.55mm"	"55.1mm"	"-2.35mm"	"54.59mm"	"T"	"112"	"100nF"
"C3"	"C0402"	"16.85mm"	"45.2mm"	"16.85mm"	"45.2mm"	"16.85mm"	"44.65mm"	"T"	"90"	"100nF"
"C4"	"C0402"	"12.05mm"	"40.25mm"	"12.05mm"	"40.25mm"	"11.6mm"	"39.95mm"	"T"	"34"	"100nF"
"C5"	"C0402"	"-6.55mm"	"58.45mm"	"-6.55mm"	"58.45mm"	"-7mm"	"58.76mm"	"T"	"326"	"100nF"
"C6"	"C0402"	"-5.55mm"	"61.15mm"	"-5.55mm"	"61.15mm"	"-6.05mm"	"60.94mm"	"T"	"23"	"100nF"
"C7"	"C0402"	"-15.6mm"	"45.75mm"	"-15.6mm"	"45.75mm"	"-16.15mm"	"45.75mm"	"T"	"0"	"100nF"
"C8"	"C0402"	"-26.15mm"	"56.65mm"	"-26.15mm"	"56.65mm"	"-26.69mm"	"56.65mm"	"T"	"0"	"100nF"
"C9"	"C0402"	"-1.55mm"	"63.15mm"	"-1.55mm"	"63.15mm"	"-1.36mm"	"63.66mm"	"T"	"250"	"100nF"
"C10"	"C0402"	"3.2mm"	"62.95mm"	"3.2mm"	"62.95mm"	"3.75mm"	"62.95mm"	"T"	"180"	"100nF"
"C11"	"C0402"	"7.3mm"	"37.35mm"	"7.3mm"	"37.35mm"	"6.78mm"	"37.18mm"	"T"	"18"	"100nF"
"C12"	"C0402"	"-24.7mm"	"61.3mm"	"-24.7mm"	"61.3mm"	"-25.19mm"	"61.53mm"	"T"	"335"	"100nF"
"C13"	"C0402"	"6.5mm"	"60.1mm"	"6.5mm"	"60.1mm"	"7.04mm"	"60.1mm"	"T"	"180"	"100nF"
"C14"	"C0402"	"7.7mm"	"56.25mm"	"7.7mm"	"56.25mm"	"7.15mm"	"56.25mm"	"T"	"0"	"100nF"
"C15"	"C0402"	"14.95mm"	"81.4mm"	"14.95mm"	"81.4mm"	"15.15mm"	"81.91mm"	"T"	"248"	"100nF"
"C16"	"C0402"	"22.05mm"	"71.3mm"	"22.05mm"	"71.3mm"	"22.6mm"	"71.3mm"	"T"	"180"	"100nF"
"C17"	"C0402"	"7.15mm"	"50.8mm"	"7.15mm"	"50.8mm"	"7.15mm"	"50.26mm"	"T"	"90"	"100nF"
"C18"	"C0402"	"2.6mm"	"48.1mm"	"2.6mm"	"48.1mm"	"2.06mm"	"48.1mm"	"T"	"0"	"100nF"
"C19"	"C0402"	"23.95mm"	"66.3mm"	"23.95mm"	"66.3mm"	"24.5mm"	"66.3mm"	"T"	"180"	"100nF"
"C20"	"C0402"	"-3.6mm"	"36.5mm"	"-3.6mm"	"36.5mm"	"-4.15mm"	"36.5mm"	"T"	"0"	"100nF"
"C21"	"C0402"	"-3.2mm"	"47.85mm"	"-3.2mm"	"47.85mm"	"-3.68mm"	"48.11mm"	"T"	"332"	"100nF"
"C22"	"C0402"	"-7.15mm"	"51.2mm"	"-7.15mm"	"51.2mm"	"-7.7mm"	"51.2mm"	"T"	"0"	"100nF"
"C23"	"C0402"	"-22.75mm"	"66.65mm"	"-22.75mm"	"66.65mm"	"-23.3mm"	"66.65mm"	"T"	"0"	"100nF"
"C24"	"C0402"	"26.5mm"	"56.2mm"	"26.5mm"	"56.2mm"	"27.04mm"	"56.2mm"	"T"	"180"	"100nF"
"C25"	"C0402"	"-13mm"	"57mm"	"-13mm"	"57mm"	"-13.17mm"	"56.48mm"	"T"	"72"	"100nF"
